loan_id,issue_date,region,property_type,loan_amount,appraised_value,interest_rate,loan_term_months,borrower_age,monthly_income,housing_fund_contribution,employment_length_years,credit_score,delinquency_history,co_borrower,has_mortgage_insurance,collateral_value,predicted_collateral_value,predicted_ltv,risk_level
1,2019-02-01,江北,排屋,1046719.49,1162069.37,2.8442,146,28,23714.78,1927.33,3,691,0,0,0,1325099.92,1232555.14,0.8492,高风险
2,2019-07-11,临平,别墅,592313.91,649703.92,3.9361,146,28,17397.82,1641.64,12,715,1,0,1,720603.31,683494.03,0.8666,高风险
3,2019-04-23,江南,排屋,388164.05,503669.44,3.9529,140,37,31994.51,3046.04,15,766,0,1,0,489023.4,522183.1,0.7433,中风险
4,2018-07-09,江南,商住两用,1289732.88,1661175.81,3.5747,295,43,31285.56,3473.95,8,596,1,0,0,1868299.61,1789954.47,0.7205,中风险
5,2018-11-15,江南,商住两用,460014.16,488918.52,3.9037,257,39,28410.41,2759.71,19,784,0,0,1,496442.71,505063.21,0.9108,高风险
6,2019-02-13,江南,商住两用,693986.9,1005069.74,3.526,261,23,26408.5,2233.69,29,854,1,1,0,1080563.3,1075271.86,0.6454,中风险
7,2017-12-24,江北,别墅,578121.27,708351.04,2.9126,353,29,32115.56,2952.63,21,839,0,0,1,672463.36,743788.02,0.7773,中风险
8,2018-04-02,江南,排屋,556054.16,698020.7,2.7378,307,54,30480.7,3630.84,18,644,0,1,0,723457.92,719825.53,0.7725,中风险
9,2019-05-13,江北,公寓,1295246.37,1674034.86,3.3667,252,51,9630.13,856.96,11,590,0,0,0,1700969.81,1793746.06,0.7221,中风险
10,2018-02-17,滨江,公寓,553244.54,719793.28,2.9749,153,53,13289.92,1314.62,14,677,0,1,1,766548.88,754197.26,0.7336,中风险
11,2019-11-21,临平,公寓,416449.51,491901.66,3.1938,340,29,13459.69,1179.18,15,651,0,1,1,400484.97,488465.25,0.8526,高风险
12,2017-11-18,萧山,商住两用,1139307.03,1636099.95,4.2211,337,38,10989.33,1092.62,7,785,1,0,1,1853352.48,1781786.65,0.6394,中风险
13,2019-12-26,江北,排屋,864652.96,1144181.18,2.8709,195,36,35061.28,3617.17,18,611,1,1,0,1165187.83,1217485.3,0.7102,中风险
14,2018-02-19,萧山,公寓,561291.04,711455.26,3.6839,227,43,34041.19,3001.42,23,740,0,1,0,758208.27,741211.54,0.7573,中风险
15,2017-08-20,临平,公寓,1298485.35,1880522.84,2.7282,174,55,13956.01,1637.46,29,615,1,0,1,2032453.47,2041770.59,0.636,中风险
16,2019-09-10,临平,商住两用,1233120.92,1290601.53,4.1367,187,30,32691.38,3586.14,5,719,0,0,1,1301006.93,1393500.85,0.8849,高风险
17,2018-01-03,江南,公寓,941598.76,1293009.67,2.6772,205,31,25113.4,2272.22,24,806,0,1,0,1377474.26,1388807.69,0.678,中风险
18,2018-10-18,江南,商住两用,465131.91,491807.45,3.1395,350,25,32967.74,2914.45,8,632,0,1,0,476313.85,480613.56,0.9678,高风险
19,2017-03-24,滨江,别墅,1225997.55,1657639.32,3.3205,291,38,14004.17,1561.39,4,775,2,1,1,1789732.5,1803901.64,0.6796,中风险
20,2018-02-25,萧山,别墅,593542.49,764878.49,3.2994,335,44,34177.11,2891.85,9,671,0,1,0,871696.77,789506.49,0.7518,中风险
21,2018-10-17,萧山,别墅,433332.87,608736.1,2.9326,131,50,6050.74,708.08,18,680,0,0,1,639733.08,633301.95,0.6842,中风险
22,2019-07-11,滨江,别墅,714352.38,809393.28,2.8228,227,47,26319.54,3056.02,20,734,0,0,1,824720.68,856632.79,0.8339,高风险
23,2018-08-15,滨江,公寓,982114.69,1208028.86,3.989,323,33,25765.52,2353.72,22,751,0,0,1,1272437.59,1295133.3,0.7583,中风险
24,2018-07-21,江北,商住两用,884157.48,1169966.39,3.272,222,38,10427.14,1120.97,29,634,1,1,0,1271394.7,1240666.56,0.7126,中风险
25,2017-08-22,萧山,商住两用,840509.25,1051911.09,3.1553,313,51,24379.57,2651.79,17,798,1,0,1,1147150.5,1129502.8,0.7441,中风险
26,2019-04-09,滨江,别墅,751075.14,992241.76,3.0104,205,43,32790.8,2728.95,5,698,0,0,0,970354.48,1050081.93,0.7153,中风险
27,2019-08-14,临平,排屋,381020.4,523827.23,3.2816,317,24,31701.96,3506.99,13,824,0,1,1,500679.74,549858.15,0.6929,中风险
28,2018-04-09,江南,商住两用,747119.26,756877.51,3.1882,293,48,27725.44,3150.17,30,645,1,1,0,775826.86,779413.25,0.9586,高风险
29,2017-01-09,江北,排屋,691521.79,757387.25,3.172,314,47,14347.7,1693.72,14,709,1,0,1,767613.82,792162.08,0.873,高风险
30,2017-01-20,临平,公寓,469334.7,495992.65,3.7716,264,36,19951.02,1800.57,12,665,0,0,0,433642.08,493844.92,0.9504,高风险
31,2018-10-22,萧山,公寓,1209865.63,1414197.57,4.2476,170,27,23762.94,2690.51,8,632,0,1,0,1496308.67,1519460.54,0.7962,中风险
32,2019-11-11,临平,别墅,332399.11,395231.32,3.4579,230,46,25067.55,2836.35,23,658,0,1,1,464885.8,395010.43,0.8415,高风险
33,2018-04-27,萧山,别墅,1235929.44,1391060.48,3.3889,312,52,23095.49,2464.92,11,594,0,1,0,1482559.18,1476141.37,0.8373,高风险
34,2019-01-17,临平,别墅,1249101.33,1297224.0,3.8601,245,38,26718.28,2827.76,16,809,1,0,1,1417409.34,1400130.69,0.8921,高风险
35,2018-09-17,临平,别墅,656882.25,951483.53,3.5632,210,52,14127.49,1272.27,4,678,0,0,0,1004640.86,1007974.1,0.6517,中风险
36,2017-04-10,临平,别墅,542933.5,586774.67,2.6248,256,31,14229.34,1692.89,18,729,0,0,1,631964.73,603429.12,0.8997,高风险
37,2018-08-15,临平,商住两用,653891.81,937990.77,3.0418,340,53,9422.61,778.44,16,617,0,0,0,1006052.4,976163.8,0.6699,中风险
38,2019-10-26,萧山,公寓,926049.99,1249298.93,3.2657,352,51,14920.59,1544.89,14,736,0,0,0,1318205.2,1332637.49,0.6949,中风险
39,2017-04-06,江南,商住两用,860952.4,921597.61,3.3149,296,53,14737.78,1315.48,23,724,0,1,0,978944.24,960109.5,0.8967,高风险
40,2017-09-08,临平,商住两用,954682.03,1344941.87,4.0466,138,26,10977.68,1013.29,24,727,0,1,1,1411310.95,1456521.59,0.6555,中风险
41,2018-02-20,萧山,排屋,359063.57,428870.16,3.1641,184,24,8739.81,1035.46,27,590,1,1,0,395554.58,416755.5,0.8616,高风险
42,2019-07-21,滨江,公寓,1117960.05,1605474.31,3.4225,224,44,15631.75,1315.94,6,748,0,1,1,1709017.98,1743351.91,0.6413,中风险
43,2018-05-11,萧山,商住两用,433603.17,584343.82,4.1136,331,23,25729.81,2616.82,14,607,0,1,1,615119.48,599318.6,0.7235,中风险
44,2019-08-04,滨江,别墅,348292.05,447036.34,3.9988,301,33,15322.5,1234.18,14,627,0,0,1,496094.02,444108.0,0.7843,中风险
45,2019-12-09,萧山,商住两用,727180.54,885069.47,3.4264,236,32,17507.58,2046.19,17,649,1,1,1,980052.92,936421.8,0.7766,中风险
46,2017-08-18,滨江,商住两用,794654.56,913533.27,3.935,216,52,33985.57,3901.0,23,702,0,0,1,918638.12,977274.39,0.8131,高风险
47,2018-11-26,江北,商住两用,1124332.6,1620577.21,3.4668,129,31,21068.73,2182.87,28,631,1,1,0,1864862.45,1751883.36,0.6418,中风险
48,2018-06-20,江北,商住两用,998850.51,1290940.86,4.0906,338,47,34624.19,3638.03,29,829,1,0,0,1296806.61,1393626.64,0.7167,中风险
49,2017-11-23,江南,排屋,1175127.65,1409748.17,3.8145,351,24,7379.73,825.39,10,763,0,0,0,1524903.26,1509226.51,0.7786,中风险
50,2017-10-28,江北,商住两用,694893.41,908510.99,3.4709,269,32,12965.65,1368.09,15,710,0,1,1,939470.84,962953.61,0.7216,中风险
51,2018-10-10,萧山,公寓,946159.93,1126818.78,3.0377,336,42,11976.51,1142.41,16,634,0,1,1,1222101.68,1188911.99,0.7958,中风险
52,2019-11-25,江北,别墅,1049775.46,1072943.92,3.6612,247,41,29272.23,2611.22,26,760,0,0,1,1087638.37,1140940.52,0.9201,高风险
53,2018-01-19,萧山,公寓,677564.01,717631.97,4.1918,203,49,11269.2,961.11,18,767,0,1,0,805296.71,747007.81,0.907,高风险
54,2018-02-05,临平,商住两用,1059068.46,1166592.1,3.7836,292,48,35018.09,3928.45,12,626,1,0,1,1255479.51,1247654.69,0.8488,高风险
55,2019-06-04,滨江,公寓,981339.82,1189545.39,3.6842,263,43,33457.68,2972.87,3,817,1,1,0,1261021.58,1277700.06,0.7681,中风险
56,2017-04-18,萧山,排屋,452950.77,545416.0,3.7734,310,49,23620.21,2576.11,29,792,0,1,1,538448.4,566326.86,0.7998,中风险
57,2018-08-08,临平,排屋,1158341.19,1210130.14,3.7999,259,45,7816.5,711.58,4,812,0,0,0,1261014.32,1290408.14,0.8977,高风险
58,2017-09-07,江北,别墅,894655.42,1221986.44,3.0077,318,32,29659.31,3079.8,9,654,1,0,0,1282891.71,1303599.54,0.6863,中风险
59,2017-10-11,临平,别墅,335465.46,375525.2,2.8218,227,30,28369.96,2810.04,25,765,0,0,1,408870.39,375582.2,0.8932,高风险
60,2018-11-01,临平,别墅,379608.9,461430.51,3.3028,295,29,20708.07,2410.17,3,621,0,0,0,469144.82,457647.14,0.8295,高风险
61,2018-10-17,萧山,商住两用,608999.79,747546.02,3.3528,323,30,31583.78,3349.04,25,690,0,0,1,751781.8,783028.76,0.7777,中风险
62,2018-11-09,滨江,公寓,686815.0,733990.62,4.2152,137,28,30953.16,2591.68,4,770,1,1,0,834589.62,774092.08,0.8873,高风险
63,2018-10-10,萧山,公寓,664613.26,837454.8,2.9723,288,53,12727.35,1073.28,28,768,0,1,0,812667.0,872597.24,0.7616,中风险
64,2017-05-23,萧山,排屋,1067161.33,1509704.47,3.2143,166,32,22989.63,2207.73,5,595,0,0,1,1663089.29,1630945.23,0.6543,中风险
65,2018-05-24,临平,公寓,637895.23,908128.92,3.6434,346,26,10667.4,1175.31,2,621,0,1,1,979227.96,956943.71,0.6666,中风险
66,2018-07-04,萧山,别墅,597581.54,780034.43,3.4516,290,42,7362.52,705.41,20,608,0,1,0,821541.49,801652.74,0.7454,中风险
67,2017-01-16,临平,商住两用,1052073.84,1135253.6,3.2654,300,37,21007.87,2380.91,26,761,0,0,1,1288053.07,1211095.87,0.8687,高风险
68,2019-07-23,临平,公寓,947338.84,1070759.88,3.3088,203,33,30039.66,3145.9,27,765,0,0,0,1152440.32,1140597.04,0.8306,高风险
69,2018-05-24,江南,公寓,652723.02,750553.72,2.8942,250,30,21918.14,1923.45,25,758,0,0,0,755676.03,777658.23,0.8393,高风险
70,2017-11-16,萧山,公寓,774674.01,971194.06,3.6141,294,43,31927.41,3355.21,5,805,0,1,1,1033134.23,1044379.11,0.7418,中风险
71,2018-08-15,滨江,公寓,356855.1,416068.75,3.1024,285,28,24450.25,2451.94,15,601,0,0,1,341353.98,408021.45,0.8746,高风险
72,2018-12-03,萧山,公寓,814458.02,877701.92,3.0336,232,51,21722.06,2267.61,12,770,1,1,0,896563.19,924717.88,0.8808,高风险
73,2019-11-13,萧山,排屋,598464.03,793371.89,3.749,352,32,16000.86,1653.04,5,759,0,1,0,813869.94,831458.94,0.7198,中风险
74,2019-12-27,江南,公寓,1248166.45,1808248.51,4.1968,143,50,21254.65,1715.87,10,672,1,1,0,1972020.54,1964612.27,0.6353,中风险
75,2018-02-17,江南,商住两用,1075457.23,1479618.27,4.1464,129,44,32291.78,3381.64,20,772,0,0,0,1530698.06,1610638.93,0.6677,中风险
76,2019-05-25,江南,排屋,1053565.79,1266404.6,3.5345,199,53,33119.23,2906.57,22,805,0,1,1,1485517.11,1365998.09,0.7713,中风险
77,2019-03-28,江南,商住两用,565003.15,728023.83,4.1297,261,29,27342.03,2751.6,4,725,0,0,1,777929.24,772504.0,0.7314,中风险
78,2018-01-14,滨江,公寓,372191.75,456271.06,3.0126,140,46,12736.16,1181.25,4,751,1,1,1,458215.11,470208.4,0.7915,中风险
79,2017-01-09,临平,公寓,531341.65,567092.35,4.2454,275,50,9335.61,854.43,10,642,0,1,1,577887.55,577559.5,0.92,高风险
80,2019-09-19,滨江,商住两用,557099.37,593093.33,3.3512,277,45,13216.93,1277.58,22,623,0,1,0,566872.84,592680.91,0.94,高风险
81,2017-11-13,江南,商住两用,1281418.63,1427683.11,2.6284,321,27,16344.07,1786.7,21,633,1,1,0,1422381.53,1513600.01,0.8466,高风险
82,2019-08-21,萧山,公寓,498632.44,528891.28,3.8531,237,25,14803.28,1210.2,7,601,0,1,1,553793.01,532310.27,0.9367,高风险
83,2019-04-10,临平,别墅,669834.69,905200.34,4.1151,204,40,9734.25,922.04,29,784,1,1,1,946005.48,969569.68,0.6909,中风险
84,2017-12-14,滨江,公寓,397348.47,505071.22,4.0391,259,41,15636.34,1300.99,22,731,0,1,0,494051.65,509455.46,0.7799,中风险
85,2019-06-20,萧山,商住两用,1298187.59,1458578.55,4.315,134,27,26135.52,2515.5,17,661,1,1,0,1514230.92,1567751.57,0.8281,高风险
86,2019-01-20,滨江,商住两用,470369.4,565602.81,3.2492,233,27,23217.65,2349.12,13,740,0,0,0,630334.64,580436.72,0.8104,高风险
87,2019-02-09,萧山,别墅,1079465.19,1421458.13,2.9755,276,41,26819.42,3216.86,7,642,0,0,1,1640043.54,1533395.02,0.704,中风险
88,2019-02-18,滨江,排屋,851327.93,1192794.94,4.0899,302,34,29810.89,2991.53,4,682,1,1,0,1288926.19,1278996.42,0.6656,中风险
89,2019-02-03,临平,排屋,623104.9,903388.56,3.858,254,49,29074.94,3283.54,3,644,1,1,1,1050436.78,967678.24,0.6439,中风险
90,2017-07-17,临平,别墅,1212498.03,1242732.61,2.8173,159,42,10939.71,1016.37,23,695,0,1,0,1369699.95,1313939.56,0.9228,高风险
91,2017-11-10,滨江,公寓,922139.71,960909.03,3.7217,271,32,11136.02,1169.05,29,752,1,0,0,944433.17,1010430.74,0.9126,高风险
92,2018-11-18,临平,排屋,603878.22,863843.32,3.4452,326,48,14923.02,1237.4,2,660,0,1,1,837915.63,908441.27,0.6647,中风险
93,2018-12-11,临平,商住两用,1039515.76,1442172.0,4.3069,153,46,21449.4,1807.06,8,818,0,1,0,1595749.06,1566424.71,0.6636,中风险
94,2017-03-27,江南,排屋,640887.1,807491.58,3.1473,315,33,20947.97,2107.13,16,737,0,0,1,932123.3,850269.66,0.7537,中风险
95,2019-06-02,临平,排屋,369529.6,451824.72,4.1441,287,53,14572.45,1170.56,4,800,0,1,1,491136.19,463693.68,0.7969,中风险
96,2018-09-10,临平,公寓,392061.11,481025.66,3.9377,191,30,9859.9,826.92,12,753,0,1,0,505713.94,488062.77,0.8033,高风险
97,2017-01-05,江北,别墅,1019320.01,1388094.33,3.5088,158,55,10193.43,1195.23,11,663,0,1,1,1561889.78,1499109.69,0.68,中风险
98,2018-11-04,江北,公寓,1280300.07,1616591.32,3.9943,305,24,23907.29,2166.51,21,696,1,0,1,1679182.28,1746610.53,0.733,中风险
99,2017-01-15,临平,别墅,627418.63,670173.49,3.8084,225,55,29249.17,3416.91,28,611,1,1,1,731044.35,698045.32,0.8988,高风险
100,2019-06-22,滨江,别墅,1076549.99,1425800.09,3.7258,297,39,24302.3,2131.08,8,722,0,0,1,1551822.94,1538301.57,0.6998,中风险
101,2018-06-18,江南,排屋,1235026.37,1677082.33,3.0786,151,47,32872.81,3148.6,12,654,0,1,0,1851397.16,1812083.34,0.6816,中风险
102,2019-05-18,滨江,公寓,1002247.87,1064159.56,3.6774,270,38,13273.74,1417.55,17,695,0,0,0,1089760.69,1121310.52,0.8938,高风险
103,2019-03-01,江北,排屋,1265228.39,1822004.57,2.8764,287,53,20323.46,1788.02,10,744,0,0,0,1967287.53,1972155.1,0.6415,中风险
104,2018-03-02,萧山,排屋,1297228.37,1528975.05,3.4669,359,41,32302.3,2596.16,19,634,1,1,1,1670773.57,1634043.47,0.7939,中风险
105,2017-06-06,江南,排屋,1036496.85,1338872.42,3.8575,123,44,29723.03,3052.89,25,678,0,1,1,1559054.73,1448240.34,0.7157,中风险
106,2018-06-08,萧山,排屋,326693.52,383083.59,3.3818,188,44,15058.38,1640.09,1,713,0,0,0,427497.28,380224.51,0.8592,高风险
107,2018-11-17,滨江,商住两用,1224643.89,1713902.15,3.9472,296,30,25161.34,2959.61,12,693,0,0,1,1901297.25,1865786.93,0.6564,中风险
108,2019-11-27,临平,商住两用,534043.39,593514.16,3.9208,343,28,21765.2,2201.05,12,619,1,0,0,551022.02,599806.57,0.8904,高风险
109,2017-11-07,临平,公寓,1022579.61,1247519.09,4.1731,234,26,19602.97,1970.68,15,609,0,1,0,1394298.02,1327041.07,0.7706,中风险
110,2017-07-12,滨江,商住两用,1006377.18,1251453.75,2.7054,348,27,35584.12,3518.66,10,789,0,0,1,1324581.02,1345099.32,0.7482,中风险
111,2018-02-22,滨江,商住两用,1264861.49,1762646.68,2.8327,340,45,9559.0,1144.34,13,850,0,0,0,1813400.68,1910838.29,0.6619,中风险
112,2017-04-15,滨江,公寓,659236.54,741009.81,4.2405,305,30,6966.52,741.29,20,588,0,0,0,783022.99,757616.48,0.8701,高风险
113,2017-12-02,滨江,别墅,714220.04,789536.46,2.9802,341,26,10204.07,1221.83,8,743,0,1,0,869657.3,817925.74,0.8732,高风险
114,2018-01-18,滨江,排屋,1249549.85,1744210.71,4.1953,280,50,22675.52,1856.57,12,775,1,1,1,1894478.16,1899714.95,0.6578,中风险
115,2019-08-08,萧山,公寓,1152354.11,1308303.8,3.8383,326,52,33442.24,3427.68,14,851,0,0,1,1349474.89,1415016.63,0.8144,高风险
116,2019-12-27,江南,公寓,506671.99,567881.87,3.7789,274,25,32208.61,2819.11,25,691,0,1,1,489711.11,580840.63,0.8723,高风险
117,2019-08-08,萧山,排屋,1001713.76,1318952.36,3.2941,181,43,29265.42,2786.84,18,763,0,1,1,1426525.78,1426742.61,0.7021,中风险
118,2018-06-14,临平,排屋,364801.14,506649.75,3.8972,124,39,22599.35,2335.9,24,793,0,0,1,465422.19,535633.68,0.6811,中风险
119,2018-09-21,江北,公寓,1244595.25,1433654.16,3.9359,245,54,19824.87,2167.07,12,666,0,1,0,1458204.24,1534879.36,0.8109,高风险
120,2017-07-05,江北,公寓,1145693.82,1265012.14,3.8375,122,36,21171.99,2009.82,20,827,0,0,0,1425433.83,1361667.9,0.8414,高风险
121,2019-12-09,滨江,公寓,845023.34,954039.67,3.4789,298,50,30185.03,3513.26,4,629,0,0,0,1065798.3,1004620.53,0.8411,高风险
122,2018-07-15,江北,公寓,873702.14,1263028.06,2.9953,295,28,25612.07,2928.2,25,596,0,1,1,1401000.8,1351468.67,0.6465,中风险
123,2019-03-03,临平,公寓,809861.23,967994.2,3.9727,264,29,32843.74,3835.03,8,688,1,1,1,955230.51,1038853.8,0.7796,中风险
124,2017-06-01,江北,别墅,1262239.81,1595680.96,3.9164,302,48,33866.25,3114.72,19,703,0,1,1,1721409.97,1723426.07,0.7324,中风险
125,2017-02-14,滨江,公寓,547501.12,566230.16,3.659,277,48,35067.62,3263.22,21,719,1,0,1,565635.87,584032.6,0.9374,高风险
126,2019-05-26,江北,排屋,561520.79,580094.77,3.069,217,32,28189.66,2612.25,4,626,0,1,1,638546.47,591453.95,0.9494,高风险
